Date,Open,High,Low,Close,Volume
2017-09-23,114.42,114.79,111.55,112.71,52151374
2017-09-22,114.35,114.94,114,114.62,30931499
2017-09-21,113.85,113.989,112.441,113.55,34410510
2017-09-20,113.05,114.12,112.51,113.57,34412356
2017-09-19,115.19,116.18,113.25,113.58,46736366
2017-09-16,115.12,116.13,114.04,114.92,77977003
2017-09-15,113.86,115.73,113.49,115.57,89519804
2017-09-14,108.73,113.03,108.6,111.8308,110503132
2017-09-13,107.51,108.79,107.24,108.1292,61462232
2017-09-12,102.65,105.72,102.53,105.44,44518551
2017-09-09,104.64,105.72,103.13,103.13,45545213
2017-09-08,107.25,107.27,105.24,105.52,51633388
2017-09-07,107.83,108.76,107.07,108.3808,41986323
2017-09-06,107.9,108.3,107.51,107.68,24354375
2017-09-02,107.7,108,106.82,107.73,26802450
2017-09-01,106.14,106.8,105.62,106.73,26701523
2017-08-31,105.66,106.5699,105.64,106.1,29662406
2017-08-30,105.8,106.5,105.5,106,24863945
2017-08-29,106.62,107.44,106.29,106.82,24970300
2017-08-26,107.41,107.95,106.31,106.94,27766291
2017-08-25,107.39,107.88,106.68,107.57,25086248
2017-08-24,108.565,108.75,107.68,108.03,23675081
2017-08-23,108.59,109.32,108.53,108.85,21257669
2017-08-22,108.86,109.1,107.85,108.51,25820230
2017-08-19,108.77,109.69,108.36,109.36,25368072
2017-08-18,109.23,109.6,109.02,109.08,21984703
2017-08-17,109.1,109.37,108.34,109.22,25355976
2017-08-16,109.63,110.23,109.21,109.38,33794448
2017-08-15,108.14,109.54,108.08,109.48,25868209
2017-08-12,107.78,108.44,107.78,108.18,18660434
2017-08-11,108.52,108.93,107.85,107.93,27484506
2017-08-10,108.71,108.9,107.76,108,24008505
2017-08-09,108.23,108.94,108.01,108.81,26315204
2017-08-08,107.52,108.37,107.16,108.37,28037220
2017-08-05,106.27,107.65,106.18,107.48,40553402
2017-08-04,105.58,106,105.28,105.87,27408650
2017-08-03,104.81,105.84,104.77,105.79,30202641
2017-08-02,106.05,106.07,104,104.48,33816556
2017-08-01,104.41,106.15,104.41,106.05,38167871
2017-07-29,104.19,104.55,103.68,104.21,27733688
2017-07-28,102.83,104.45,102.82,104.34,39869839
2017-07-27,104.265,104.35,102.75,102.95,92344820
2017-07-26,96.82,97.97,96.42,96.67,56239822
2017-07-25,98.25,98.84,96.92,97.34,40382921
2017-07-22,99.26,99.3,98.31,98.66,28313669
2017-07-21,99.83,101,99.13,99.43,32702028
2017-07-20,100,100.46,99.735,99.96,26275968
2017-07-19,99.56,100,99.34,99.87,23779924
2017-07-18,98.7,100.13,98.6,99.83,36493867
2017-07-15,98.92,99.3,98.5,98.78,30136990
2017-07-14,97.39,98.99,97.32,98.79,38918997
2017-07-13,97.41,97.67,96.84,96.87,25892171
2017-07-12,97.17,97.7,97.12,97.42,24167463
2017-07-11,96.75,97.65,96.73,96.98,23794945
2017-07-08,96.49,96.89,96.05,96.68,28912103
2017-07-07,95.7,96.5,95.62,95.94,25139558
2017-07-06,94.6,95.66,94.37,95.53,30949090
2017-07-05,95.39,95.4,94.46,94.99,27705210
2017-07-01,95.49,96.465,95.33,95.89,26026540
2017-06-30,94.44,95.77,94.3,95.6,35836356
2017-06-29,93.97,94.55,93.63,94.4,36531006
2017-06-28,92.9,93.66,92.14,93.59,40444914
2017-06-27,93,93.05,91.5,92.04,46622188
2017-06-24,92.91,94.655,92.65,93.4,75311356
2017-06-23,95.94,96.29,95.25,96.1,32240187
2017-06-22,96.25,96.89,95.35,95.55,29219122
2017-06-21,94.94,96.35,94.676,95.91,35546358
2017-06-20,96,96.57,95.03,95.1,34411901
2017-06-17,96.62,96.65,95.3,95.33,61008219
2017-06-16,96.45,97.75,96.07,97.55,31326815
2017-06-15,97.82,98.41,97.03,97.14,29445227
2017-06-14,97.32,98.475,96.75,97.46,31931944
2017-06-13,98.69,99.12,97.1,97.34,38020494
2017-06-10,98.53,99.3457,98.48,98.83,31712936
2017-06-09,98.5,99.99,98.46,99.65,26601354
2017-06-08,99.02,99.56,98.68,98.94,20848131
2017-06-07,99.25,99.87,98.96,99.03,22409450
2017-06-06,97.99,101.89,97.55,98.63,23292504
2017-06-03,97.79,98.27,97.45,97.92,28504888
2017-06-02,97.6,97.84,96.63,97.72,40191600
2017-06-01,99.02,99.54,98.33,98.46,29173285
2017-05-31,99.6,100.4,98.82,99.86,42307212
2017-05-27,99.44,100.47,99.245,100.35,36341240
2017-05-26,99.68,100.73,98.64,100.41,56331159
2017-05-25,98.67,99.74,98.11,99.62,38642108
2017-05-24,97.22,98.09,96.84,97.9,35140174
2017-05-23,95.87,97.19,95.67,96.43,38018643
2017-05-20,94.64,95.43,94.52,95.22,32025968
2017-05-19,94.64,94.64,93.57,94.2,30442100
2017-05-18,94.16,95.21,93.89,94.56,42062391
2017-05-17,94.55,94.7,93.01,93.49,46916939
2017-05-16,92.39,94.39,91.65,93.88,61259756
2017-05-13,90,91.67,90,90.52,44392765
2017-05-12,92.72,92.78,89.47,90.34,76314690
2017-05-11,93.48,93.57,92.46,92.51,28719109
2017-05-10,93.33,93.57,92.11,93.42,33686836
2017-05-09,93,93.77,92.59,92.79,32936436
2017-05-06,93.37,93.45,91.85,92.72,43699886
2017-05-05,94,94.07,92.68,93.24,35890500
2017-05-04,95.2,95.9,93.82,94.19,41025475
2017-05-03,94.2,95.74,93.68,95.18,56831277
2017-05-02,93.965,94.08,92.4,93.64,48160104
2017-04-29,93.99,94.72,92.51,93.74,68531478
2017-04-28,97.61,97.88,94.25,94.83,82242690
2017-04-27,96,98.71,95.68,97.82,114602142
2017-04-26,103.91,105.3,103.91,104.35,56016165
2017-04-25,105,105.65,104.51,105.08,28031588
2017-04-22,105.01,106.48,104.62,105.68,33683121
2017-04-21,106.93,106.93,105.52,105.97,31552525
2017-04-20,106.64,108.09,106.06,107.13,30611030
2017-04-19,107.88,108,106.23,106.91,32384879
2017-04-18,108.89,108.95,106.94,107.48,60821461
2017-04-15,112.11,112.3,109.73,109.85,46938969
2017-04-14,111.62,112.39,111.33,112.1,25473923
2017-04-13,110.8,112.34,110.8,112.04,33257316
2017-04-12,109.34,110.5,108.66,110.44,27232325
2017-04-11,108.97,110.61,108.83,109.02,29407518
2017-04-08,108.91,109.77,108.17,108.66,23581740
2017-04-07,109.95,110.42,108.121,108.54,31801870
2017-04-06,110.23,110.98,109.2,110.96,26404077
2017-04-05,109.51,110.73,109.42,109.81,26578652
2017-04-04,110.42,112.19,110.27,111.12,37356204
2017-04-01,108.78,110,108.2,109.99,25873950
2017-03-31,109.72,109.9,108.88,108.99,25888449
2017-03-30,108.65,110.42,108.6,109.56,45601149
2017-03-29,104.89,107.79,104.88,107.68,31190083
2017-03-28,106,106.19,105.06,105.19,19411372
2017-03-24,105.47,106.25,104.89,105.67,26132955
2017-03-23,106.48,107.07,105.9,106.13,25703495
2017-03-22,105.25,107.29,105.21,106.72,32444375
2017-03-21,105.93,107.65,105.1401,105.91,35502678
2017-03-18,106.34,106.5,105.19,105.92,44205171
2017-03-17,105.52,106.47,104.96,105.8,34420705
2017-03-16,104.61,106.31,104.59,105.97,38303493
2017-03-15,103.96,105.18,103.85,104.58,40067734
2017-03-14,101.91,102.91,101.78,102.52,25076062
2017-03-11,102.24,102.28,101.5,102.26,27408237
2017-03-10,101.41,102.24,100.15,101.17,33513577
2017-03-09,101.31,101.58,100.27,101.12,27201683
2017-03-08,100.78,101.76,100.4,101.03,31182194
2017-03-07,102.39,102.83,100.96,101.87,35915810
2017-03-04,102.37,103.75,101.37,103.01,46055100
2017-03-03,100.58,101.7099,100.45,101.5,36955742
2017-03-02,100.51,100.89,99.64,100.75,33169560
2017-03-01,97.65,100.77,97.42,100.53,50407147
2017-02-29,96.86,98.23,96.65,96.69,35216277
2017-02-26,97.2,98.0237,96.58,96.91,28991131
2017-02-25,96.05,96.76,95.25,96.76,27582659
2017-02-24,93.98,96.38,93.32,96.1,36255745
2017-02-23,96.4,96.5,94.55,94.69,31942633
2017-02-22,96.31,96.9,95.92,96.88,34280758
2017-02-19,96,96.7599,95.8,96.04,35374173
2017-02-18,98.84,98.89,96.091,96.26,39020983
2017-02-17,96.67,98.21,96.15,98.12,44863243
2017-02-16,95.02,96.85,94.61,96.64,49057916
2017-02-12,94.19,94.5,93.01,93.99,40351381
2017-02-11,93.79,94.72,92.59,93.7,50074711
2017-02-10,95.92,96.35,94.1,94.27,42343601
2017-02-09,94.29,95.94,93.93,94.99,44331195
2017-02-08,93.13,95.7,93.04,95.01,54021375
2017-02-05,96.52,96.92,93.69,94.02,46418064
2017-02-04,95.86,97.33,95.19,96.6,46471652
2017-02-03,95,96.84,94.08,96.35,45964294
2017-02-02,95.42,96.04,94.28,94.48,37357215
2017-02-01,96.47,96.71,95.4,96.43,40943541
2017-01-29,94.79,97.34,94.35,97.34,64416504
2017-01-28,93.79,94.52,92.39,94.09,55678825
2017-01-27,96.04,96.6289,93.34,93.42,133369674
2017-01-26,99.93,100.88,98.07,99.99,75077002
2017-01-25,101.52,101.53,99.21,99.44,51794525
2017-01-22,98.63,101.46,98.37,101.42,65800467
2017-01-21,97.06,97.88,94.94,96.3,52161463
2017-01-20,95.1,98.1897,93.42,96.79,72334416
2017-01-19,98.41,98.65,95.5,96.66,53087747
2017-01-15,96.2,97.71,95.36,97.13,79833891
2017-01-14,97.96,100.48,95.74,99.52,63170127
2017-01-13,100.32,101.19,97.3,97.39,62439631
2017-01-12,100.55,100.69,98.8399,99.96,49154227
2017-01-11,98.97,99.06,97.34,98.53,49739377
2017-01-08,98.55,99.11,96.76,96.96,70798016
2017-01-07,98.68,100.13,96.43,96.45,81094428
2017-01-06,100.56,102.37,99.87,100.7,68457388
2017-01-05,105.75,105.85,102.41,102.71,55790992
2017-01-04,102.61,105.368,102,105.35,67649387